# jours_écoulés 	 nombreTotalContaminésGrippe 	 nombreTotalContaminésAgentPathogène()
0	0	19972
0	0	20155
0	0	21536
0	0	23069
0	0	24813
0	0	26578
0	0	28454
0	0	30376
0	0	32487
0	0	34642
0	0	36834
0	0	39006
0	0	41193
0	0	43578
0	0	45752
0	0	47890
0	0	49737
0	0	51489
0	0	52963
0	0	54216
0	0	55120
0	0	55791
0	0	56123
0	0	56334
0	0	56456
0	0	56418
0	0	56332
0	0	56103
0	0	55893
0	0	55616
0	0	55392
0	0	55187
0	0	55093
0	0	55086
0	0	54913
0	0	54771
0	0	54715
0	0	54653
0	0	54694
0	0	54586
0	0	54551
0	0	54507
0	0	54483
0	0	54367
0	0	54379
0	0	54319
0	0	54306
0	0	54363
0	0	54357
0	0	54410
0	0	54390
0	0	54447
0	0	54365
0	0	54367
0	0	54437
0	0	54446
0	0	54494
0	0	54486
0	0	54415
0	0	54479
0	0	54392
0	0	54412
0	0	54357
0	0	54459
0	0	54412
0	0	54388
0	0	54455
0	0	54443
0	0	54449
0	0	54470
0	0	54456
0	0	54498
0	19	54553
0	25	54479
0	29	54425
0	49	54341
0	64	54331
0	83	54239
0	112	54289
0	150	54199
0	187	54200
0	228	54098
0	315	54086
0	424	54038
0	526	54149
0	685	54191
0	872	54267
0	1143	54229
0	1373	54229
0	1696	54257
0	1999	54374
0	2359	54331
0	2720	54351
0	3064	54392
0	3417	54461
0	3844	54461
0	4256	54441
0	4657	54397
0	5040	54410
0	5337	54375
0	5727	54428
0	6001	54447
0	6326	54415
0	6605	54493
0	6810	54556
0	7038	54425
0	7206	54446
0	7476	54468
0	7616	54407
0	7774	54413
0	7885	54478
0	8079	54472
0	8268	54584
0	8424	54536
0	8555	54572
0	8664	54498
0	8711	54554
0	8829	54504
0	8728	54524
0	8581	54505
0	8458	54544
0	8109	54505
0	7952	54515
0	7694	54541
0	7448	54632
0	7212	54670
0	6969	54688
0	6658	54635
0	6317	54567
0	6068	54549
0	5674	54520
0	5309	54581
0	5001	54562
0	4655	54510
0	4273	54398
0	3971	54546
0	3636	54557
0	3258	54578
0	2863	54541
0	2466	54487
0	2082	54477
0	1738	54457
0	1470	54502
0	1177	54505
0	952	54543
0	765	54570
0	586	54502
0	468	54472
0	347	54377
0	240	54298
0	164	54221
0	129	54214
0	106	54214
0	81	54332
0	62	54330
0	45	54405
0	32	54411
0	24	54298
0	16	54286
0	11	54217
0	7	54343
0	5	54382
0	2	54417
0	1	54432
0	0	54388
0	0	54289
0	0	54221
0	0	54276
0	0	54185
0	0	54144
0	0	54023
0	0	53980
0	0	54018
0	0	53973
0	0	53944
0	0	54010
0	0	54118
0	0	54113
0	0	54034
0	0	54048
0	0	53976
0	0	53965
0	0	53965
0	0	53912
0	0	53888
0	0	53997
0	0	53833
0	0	53784
0	0	53885
0	0	53982
0	0	53945
0	0	53931
0	0	53922
0	0	53969
0	0	53905
0	0	53917
0	0	53926
0	0	53951
0	0	53994
0	0	54064
0	0	54132
0	0	54098
0	0	54113
0	0	54072
0	0	54210
0	0	54198
0	0	54192
0	0	54322
0	0	54333
0	0	54354
0	0	54459
0	0	54379
0	0	54246
0	0	54234
0	0	54257
0	0	54329
0	0	54325
0	0	54269
0	0	54208
0	0	54176
0	0	54268
0	0	54264
0	0	54259
0	0	54234
0	0	54324
0	0	54187
0	0	54144
0	0	54161
0	0	54184
0	0	54235
0	0	54232
0	0	54261
0	0	54246
0	0	54240
0	0	54344
0	0	54460
0	0	54392
0	0	54345
0	0	54417
0	0	54338
0	0	54228
0	0	54214
0	0	54318
0	0	54385
0	0	54416
0	0	54317
0	0	54314
0	0	54211
0	0	54253
0	0	54290
0	0	54299
0	0	54422
0	0	54478
0	0	54550
0	0	54563
0	0	54545
0	0	54514
0	0	54505
0	0	54537
0	0	54528
0	0	54471
0	0	54451
0	0	54397
0	0	54440
0	0	54523
0	0	54521
0	0	54532
0	0	54312
0	0	54249
0	0	54340
0	0	54357
0	0	54283
0	0	54352
0	0	54308
0	0	54311
0	0	54252
0	0	54177
0	0	54279
0	0	54325
0	0	54208
0	0	54215
0	0	54245
0	0	54118
0	0	54163
0	0	54117
0	0	54179
0	0	54181
0	0	54204
0	0	54223
0	0	54285
0	0	54261
0	0	54315
0	0	54348
0	0	54266
0	0	54245
0	0	54192
0	0	54192
0	0	54202
0	0	54270
0	0	54373
0	0	54454
0	0	54395
0	0	54427
0	0	54400
0	0	54506
0	0	54434
0	0	54482
0	0	54459
0	0	54493
0	0	54487
0	0	54435
0	0	54386
0	0	54339
0	0	54402
0	0	54395
0	0	54335
0	0	54362
0	0	54304
0	0	54351
0	0	54390
0	0	54400
0	0	54397
0	0	54395
0	0	54458
0	0	54376
0	0	54376
0	0	54327
0	0	54387
0	0	54305
0	0	54283
0	0	54258
0	0	54325
0	0	54318
0	0	54233
0	0	54101
0	0	54090
0	0	53986
0	0	53952
0	0	54003
0	0	54122
0	0	54091
0	0	54087
0	0	54128
0	0	54093
0	0	54131
0	0	53977
0	0	53998
0	0	54130
0	0	54169
0	0	54154
0	0	54332
0	0	54482
0	0	54579
0	0	54613
0	0	54712
0	0	54699
0	0	54753
0	0	54802
0	0	54781
0	0	54683
0	0	54736
0	0	54843
0	0	54870
0	0	54792
0	0	54706
0	0	54670
0	0	54755
0	0	54774
0	0	54749
0	0	54784
0	0	54885
0	0	54930
0	0	54931
0	0	54947
0	0	54879
0	0	54827
0	0	54686
0	0	54765
0	0	54732
0	0	54679
0	0	54653
0	0	54663
0	0	54571
0	0	54557
0	0	54511
0	0	54542
0	0	54499
0	0	54452
0	0	54380
0	0	54401
0	0	54379
0	0	54417
0	0	54387
0	0	54382
0	0	54432
0	0	54402
0	0	54394
0	0	54442
0	0	54357
0	0	54376
0	0	54323
0	0	54324
0	0	54360
0	0	54422
0	0	54437
0	0	54458
0	0	54433
0	0	54394
0	0	54453
0	0	54454
0	0	54367
0	0	54192
0	0	54249
0	0	54244
0	0	54332
0	0	54257
0	0	54231
0	0	54221
0	0	54306
0	0	54243
0	0	54220
0	0	54316
0	0	54170
0	0	54289
0	0	54392
0	0	54407
0	0	54477
0	0	54537
0	0	54566
0	0	54520
0	0	54549
0	0	54618
0	0	54643
0	0	54628
0	0	54633
0	0	54659
0	0	54687
0	19	54629
0	25	54712
0	29	54704
0	57	54752
0	63	54717
0	82	54677
0	123	54602
0	174	54581
0	203	54625
0	263	54606
0	356	54737
0	458	54719
0	593	54637
0	730	54572
0	938	54535
0	1168	54462
0	1366	54384
0	1722	54394
0	1994	54257
0	2360	54309
0	2741	54230
0	3113	54216
0	3480	54299
0	3864	54294
0	4306	54441
0	4689	54498
0	5107	54391
0	5517	54419
0	5911	54353
0	6234	54253
0	6571	54184
0	6837	54010
0	7061	54068
0	7268	54027
0	7332	54080
0	7469	54093
0	7405	54214
0	7431	54182
0	7402	54240
0	7471	54253
0	7477	54252
0	7535	54220
0	7462	54336
0	7479	54258
0	7461	54298
0	7367	54362
0	7496	54400
0	7477	54365
0	7492	54317
0	7413	54258
0	7274	54205
0	7263	54230
0	7125	54288
0	7002	54414
0	6812	54458
0	6602	54465
0	6401	54354
0	6122	54331
0	5876	54267
0	5606	54278
0	5226	54418
0	4910	54416
0	4614	54503
0	4251	54600
0	4011	54567
0	3667	54613
0	3359	54654
0	3065	54666
0	2778	54605
0	2421	54634
